feature,importance,mean_signed_shap
Comm_internal_edge_frac,0.39362848,0.013719233
Spectral_laplacian_heat_trace_t2.0,0.39157346,0.08573902
Comm_modularity,0.31306776,0.019248798
Ecc_mean,0.262503,0.033945788
Motif_induced_P4,0.22371013,0.017694702
Centrality_eigenvector_max,0.090658106,0.015805386
Spectral_lap_eig_2,0.090641804,-0.002201208
Centrality_betweenness_max,0.07520563,-0.0045908843
Spectral_algebraic_connectivity_over_avgdeg,0.065603346,-0.0030666096
Comm_size_gini,0.065157376,0.008679071
Symmetry_automorphism_group_order,0.061684046,0.0028626341
Clustering_mean,0.058410425,0.012097297
Adjacency_moment_4_over_avgdeg4,0.054658383,-0.003520225
Spectral_algebraic_connectivity,0.050426356,0.012132801
Comm_size_max,0.048423782,0.006435352
Spectral_laplacian_heat_trace_t1.0,0.045680027,-0.014846713
Adjacency_energy,0.04138995,0.0051825745
Motif_induced5_g_1_5_per_Cn5,0.038146123,-0.0007978321
Motif_induced_C4,0.035855945,0.0028988784
Kirchhoff_index,0.03521125,0.0049957545
Spectral_lap_eig_5,0.029799107,-0.0039003198
Spectral_lap_eig_0,0.026578054,0.0024414293
Unnamed: 0,0.022658808,-0.0036211002
Adjacency_energy_per_node,0.021601133,0.0013993297
Centrality_closeness_skew,0.021271376,-0.0017677014
Motif_induced_g_1_4,0.018456252,0.00019118108
Centrality_eigenvector_skew,0.016937612,-0.0023465494
Spectral_laplacian_heat_trace_t0.1,0.016489536,0.0035381012
Motif_induced5_g_15_5_per_Cn5,0.016363105,0.005500531
Motif_induced5_g_5_5,0.014696021,-0.00017564751
Motif_induced_P4_per_Cn4,0.014580289,0.0042998483
Motif_induced5_g_1_5,0.013520863,-0.00015594668
Symmetry_num_orbits,0.012953684,0.0009703298
Spectral_lap_eig_9,0.012887706,-0.0027947128
Centrality_eigenvector_mean,0.012875023,-0.0010782586
Symmetry_orbit_size_max,0.011609934,0.0010046215
Spectral_spectral_gap_rel,0.010162011,-0.00018586736
Motif_triangle_edge_frac_zero,0.008686588,0.002000372
Motif_induced5_g_4_5,0.006277999,0.000728112
Basic_avg_degree,0.005730744,0.0013554249
Basic_num_edges,0.005627848,0.0014775424
NetLSD_q10,0.0054129395,-8.745707e-05
NetLSD_std,0.0048245154,0.0019521466
Motif_induced5_g_5_5_per_Cn5,0.0047658873,0.00051889353
Centrality_betweenness_skew,0.0044767614,0.0010381909
Basic_edge_to_node_ratio,0.0044204923,0.0011543162
Motif_induced5_g_6_5,0.003456323,-6.495499e-05
Centrality_eigenvector_std,0.0033572908,0.00014874362
Centrality_betweenness_std,0.00333265,0.0005265856
Adjacency_moment_2_over_avgdeg,0.0026587276,3.1756514e-05
Cycle_num_cycles_len_5,0.0025095472,0.00047360707
Centrality_closeness_mean_norm,0.002174948,-0.0002678477
Spectral_laplacian_heat_trace_t5.0,0.0021541158,-0.00058476336
Motif_triangle_edge_incidence_std,0.0020632404,0.00042730334
Spectral_laplacian_heat_trace_t1.0_per_node,0.0010652014,0.00011510809
Motif_4_cycles,0.0009117146,7.421398e-05
Spectral_lap_eig_8,0.00053666555,-0.00010966167
Motif_induced_g_3_4,0.00048422618,2.5656489e-05
Core_max_core_index,0.0,0.0
Eff_diameter_p90,0.0,0.0
Connectivity_wiener_index,0.0,0.0
Connectivity_avg_shortest_path_length,0.0,0.0
Centrality_betweenness_mean,0.0,0.0
Centrality_closeness_mean,0.0,0.0
Robust_articulation_points,0.0,0.0
Robust_bridge_count,0.0,0.0
Spectral_laplacian_skew,0.0,0.0
Spectral_laplacian_std,0.0,0.0
Spectral_laplacian_mean,0.0,0.0
Spectral_spectral_gap,0.0,0.0
Cycle_num_cycles_len_6,0.0,0.0
Core_core_index_mean,0.0,0.0
Basic_density,0.0,0.0
NetLSD_mean,0.0,0.0
NetLSD_q90,0.0,0.0
Planarity_num_faces,0.0,0.0
Planarity_face_size_mean,0.0,0.0
Spectral_lap_eig_3,0.0,0.0
Spectral_lap_eig_4,0.0,0.0
Spectral_lap_eig_7,0.0,0.0
Spectral_lap_eig_6,0.0,0.0
Spectral_lap_eig_1,0.0,0.0
Motif_4_cliques,0.0,0.0
Motif_wedges,0.0,0.0
Motif_triangles,0.0,0.0
Comm_count,0.0,0.0
Planarity_face_size_max,0.0,0.0
Motif_triangle_edge_incidence_median,0.0,0.0
Motif_square_clustering_proxy,0.0,0.0
Motif_triangle_edge_incidence_mean,0.0,0.0
Motif_induced_K1_3,0.0,0.0
Motif_triangle_edge_frac_ge2,0.0,0.0
Motif_triangle_edge_incidence_q90,0.0,0.0
Motif_induced_TailedTriangle,0.0,0.0
Motif_induced_Diamond,0.0,0.0
Motif_induced_K4,0.0,0.0
Centrality_closeness_max,0.0,0.0
Centrality_closeness_std,0.0,0.0
Connectivity_diameter,0.0,0.0
Connectivity_radius,0.0,0.0
Connectivity_num_components,0.0,0.0
Ecc_q90,0.0,0.0
Basic_max_degree,0.0,0.0
Basic_degree_std,0.0,0.0
Connectivity_is_connected,0.0,0.0
Basic_degree_entropy,0.0,0.0
Basic_min_degree,0.0,0.0
Degree_gini,0.0,0.0
Clustering_frac_one,0.0,0.0
Clustering_frac_zero,0.0,0.0
Clustering_q90,0.0,0.0
Clustering_q50,0.0,0.0
Clustering_q10,0.0,0.0
Basic_num_nodes,0.0,0.0
TDA_H1_mean_birth,0.0,0.0
TDA_H1_persistence_entropy,0.0,0.0
TDA_H1_max_persistence,0.0,0.0
TDA_H1_mean_persistence,0.0,0.0
TDA_H1_total_persistence,0.0,0.0
TDA_H1_count,0.0,0.0
TDA_H0_mean_death,0.0,0.0
TDA_H0_mean_birth,0.0,0.0
TDA_H0_persistence_entropy,0.0,0.0
TDA_H0_max_persistence,0.0,0.0
TDA_H0_mean_persistence,0.0,0.0
TDA_H0_total_persistence,0.0,0.0
TDA_H0_count,0.0,0.0
Adjacency_moment_4,0.0,0.0
Adjacency_moment_3,0.0,0.0
Adjacency_moment_2,0.0,0.0
Adjacency_estrada_index,0.0,0.0
Motif_induced_connected_per_4set,0.0,0.0
Motif_wedges_per_max,0.0,0.0
Motif_4_cliques_per_Cn4,0.0,0.0
Wiener_mean_distance,0.0,0.0
Motif_induced_K1_3_per_Cn4,0.0,0.0
Motif_4_cycles_per_Cn4,0.0,0.0
Motif_triangles_per_Cn3,0.0,0.0
Basic_degree_entropy_norm,0.0,0.0
Connectivity_diameter_norm,0.0,0.0
Connectivity_radius_norm,0.0,0.0
TDA_Betti0_at_q75,0.0,0.0
TDA_Betti1_at_q25,0.0,0.0
TDA_H1_mean_death,0.0,0.0
TDA_Betti0_at_q50,0.0,0.0
TDA_Betti0_at_q25,0.0,0.0
Spectral_laplacian_heat_trace_t5.0_per_node,0.0,0.0
Spectral_laplacian_heat_trace_t0.1_per_node,0.0,0.0
Connectivity_num_components_per_node,0.0,0.0
Adjacency_energy_over_fro,0.0,0.0
log_Adjacency_estrada_per_node,0.0,0.0
Adjacency_estrada_per_node,0.0,0.0
Adjacency_moment_3_over_avgdeg3,0.0,0.0
Planarity_num_faces_over_upperbound,0.0,0.0
Planarity_face_size_mean_norm,0.0,0.0
Symmetry_aut_size_log_over_log_nfact,0.0,0.0
Symmetry_num_orbits_per_node,0.0,0.0
Symmetry_orbit_size_max_per_node,0.0,0.0
TDA_H0_count_per_node,0.0,0.0
TDA_H0_total_persistence_over_diam,0.0,0.0
TDA_H0_mean_persistence_over_diam,0.0,0.0
TDA_H0_max_persistence_over_diam,0.0,0.0
TDA_H0_mean_birth_over_diam,0.0,0.0
TDA_H0_mean_death_over_diam,0.0,0.0
TDA_H1_count_per_node,0.0,0.0
TDA_H1_total_persistence_over_diam,0.0,0.0
TDA_H1_mean_persistence_over_diam,0.0,0.0
TDA_H1_max_persistence_over_diam,0.0,0.0
Motif_induced_C4_per_Cn4,0.0,0.0
Motif_induced_TailedTriangle_per_Cn4,0.0,0.0
Robust_bridge_count_per_edge,0.0,0.0
Robust_articulation_points_per_node,0.0,0.0
Motif_induced_K4_per_Cn4,0.0,0.0
Motif_induced_Diamond_per_Cn4,0.0,0.0
Centrality_closeness_max_norm,0.0,0.0
TDA_Betti1_at_q50,0.0,0.0
TDA_Betti1_at_q75,0.0,0.0
Basic_avg_degree_norm,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_5_cycles,0.0,0.0
TDA_Betti1_at_q75_per_node,0.0,0.0
TDA_Betti0_at_q75_per_node,0.0,0.0
TDA_Betti1_at_q50_per_node,0.0,0.0
TDA_Betti0_at_q50_per_node,0.0,0.0
TDA_Betti1_at_q25_per_node,0.0,0.0
TDA_Betti0_at_q25_per_node,0.0,0.0
TDA_H1_mean_death_over_diam,0.0,0.0
TDA_H1_mean_birth_over_diam,0.0,0.0
Motif_induced_g_5_4,0.0,0.0
Motif_induced5_g_3_5,0.0,0.0
Motif_induced5_g_0_5,0.0,0.0
Motif_induced_g_6_4,0.0,0.0
Motif_induced_g_4_4,0.0,0.0
Motif_induced_g_2_4,0.0,0.0
Motif_induced5_g_10_5,0.0,0.0
Motif_induced5_g_11_5,0.0,0.0
Motif_induced5_g_12_5,0.0,0.0
Motif_induced5_g_13_5,0.0,0.0
Motif_induced5_g_14_5,0.0,0.0
Motif_induced5_g_15_5,0.0,0.0
Motif_induced5_g_16_5,0.0,0.0
Motif_induced5_g_17_5,0.0,0.0
Motif_induced5_g_18_5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_induced_connected_per_5set,0.0,0.0
Motif_induced_g_1_4_per_Cn4,0.0,0.0
Motif_induced5_g_2_5,0.0,0.0
Motif_induced5_g_7_5,0.0,0.0
Motif_induced5_g_8_5,0.0,0.0
Motif_induced5_g_9_5,0.0,0.0
Motif_induced_g_5_4_per_Cn4,0.0,0.0
Motif_induced_g_4_4_per_Cn4,0.0,0.0
Motif_induced_g_3_4_per_Cn4,0.0,0.0
Motif_induced_g_2_4_per_Cn4,0.0,0.0
Motif_5_cycles_per_Kn,0.0,0.0
Motif_induced5_g_0_5_per_Cn5,0.0,0.0
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_induced_g_6_4_per_Cn4,0.0,0.0
Motif_induced5_g_3_5_per_Cn5,0.0,0.0
Motif_induced5_g_4_5_per_Cn5,0.0,0.0
Motif_induced5_g_6_5_per_Cn5,0.0,0.0
Motif_induced5_g_7_5_per_Cn5,0.0,0.0
Motif_induced5_g_8_5_per_Cn5,0.0,0.0
Motif_induced5_g_9_5_per_Cn5,0.0,0.0
Motif_induced5_g_2_5_per_Cn5,0.0,0.0
Motif_5_cycles_per_Cn5,0.0,0.0
Motif_induced5_g_11_5_per_Cn5,0.0,0.0
Motif_induced5_g_10_5_per_Cn5,0.0,0.0
Motif_induced5_g_13_5_per_Cn5,0.0,0.0
Motif_induced5_g_12_5_per_Cn5,0.0,0.0
Motif_induced5_g_16_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_induced5_g_18_5_per_Cn5,0.0,0.0
Motif_induced5_g_14_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Spectral_kirchhoff_index,0.0,0.0
Spectral_laplacian_heat_trace_t0.5,0.0,0.0
Spectral_adjacency_energy,0.0,0.0
Spectral_adjacency_estrada_index,0.0,0.0
Spectral_adjacency_moment_2,0.0,0.0
Spectral_adjacency_moment_3,0.0,0.0
Spectral_adjacency_moment_4,0.0,0.0
