Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,sample_index
0.08803259,0.47655168,-0.3202853,0.026654113,0.027153824,0.11024341,0.16278157,0.11425474,-0.01261189,0.051674247,0
0.07444383,0.5155555,-0.0416362,0.026637968,0.018862009,0.08725542,0.17788543,0.12357815,-0.01119226,0.018346202,1
-0.16090772,0.4635344,0.038015693,0.0435434,-0.009954888,0.12279824,0.14897282,0.13188735,0.032969266,0.042040374,2
0.052100413,0.5024758,0.042587254,0.044365562,-0.017031655,-0.25760615,0.17541948,0.1502649,0.034339726,0.05008944,3
0.074736774,0.48054624,0.119130746,0.043337446,-0.02499715,0.13585305,0.14908378,0.09615269,-0.030194819,0.028797073,4
0.016318161,0.3070218,0.22226119,-0.0015139356,-0.04705083,-0.23063447,-0.056466408,-0.030054597,-0.0009726917,-0.07212236,5
0.09376547,0.4734425,0.14566898,0.05044254,-0.020957537,0.14478025,0.16783492,0.09615269,-0.030194819,0.05902348,6
0.04336443,0.33329517,0.09149149,-0.0034954539,-0.027150743,-0.319822,0.14700612,0.06618689,-0.0339374,-0.012979522,7
0.07710583,0.47550753,0.028668702,0.052875306,0.013066143,0.14700413,0.16189276,0.11873668,0.029861178,0.06547075,8
0.069832824,0.43674734,0.14381336,0.04046391,0.015471057,0.17139491,-0.08949462,0.12348903,-0.025900315,0.081774734,9
-0.01041947,0.27074447,0.24442452,0.05630046,-0.028814226,0.17826709,-0.091903105,-0.05456531,-0.0015066171,-0.098969124,10
0.05726044,0.24363315,0.3680537,0.024265088,-0.020280967,0.0056038513,-0.08732973,-0.058057006,0.00010669988,-0.15069719,11
0.07457455,0.29348242,0.24741697,0.0675833,-0.022277948,0.21615548,-0.08625586,-0.024157893,-0.0015066171,-0.031307507,12
0.047454976,0.4678847,0.14284468,0.019354185,-0.021336311,0.13360552,0.16995245,0.051703442,-0.030194819,0.0434215,13
-0.22665483,0.33309007,0.08964061,-0.051240142,-0.031967867,0.10400068,-0.088286094,0.070145935,-0.029230818,0.016952142,14
-0.094771594,-0.17037144,0.43339634,0.007795943,-0.05412389,-0.15151502,-0.0705355,-0.06754124,-0.023865981,-0.04993348,15
0.06149762,0.29361582,0.41074014,0.0042355172,-0.021549962,-0.25561157,-0.08270268,-0.02488986,0.0050673205,-0.06379924,16
-0.03837242,0.37867332,-0.072108716,0.06037367,0.057577636,0.124817446,-0.09153035,0.22070204,-0.0035874965,0.08501088,17
