decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,9,1,0.25081456,0.3561126,0.30271736,8,0.1111111111111111,0.009345794392523364,0.009345794392523364
2,8,3,0.3597166,0.403779,0.38402623,5,0.375,0.028037383177570093,0.037383177570093455
3,8,4,0.40447107,0.44119686,0.42243755,4,0.5,0.037383177570093455,0.07476635514018691
4,8,5,0.44664246,0.469516,0.4601474,3,0.625,0.04672897196261682,0.12149532710280372
5,8,4,0.4719068,0.5070151,0.4868695,4,0.5,0.037383177570093455,0.1588785046728972
6,9,5,0.5225315,0.57446,0.54876375,4,0.5555555555555556,0.04672897196261682,0.205607476635514
7,8,4,0.57661885,0.6012614,0.58760947,4,0.5,0.037383177570093455,0.24299065420560748
8,8,5,0.60355973,0.62729645,0.6162407,3,0.625,0.04672897196261682,0.2897196261682243
9,8,6,0.62963784,0.65239614,0.6380892,2,0.75,0.056074766355140186,0.34579439252336447
10,8,6,0.6541052,0.6754364,0.6663716,2,0.75,0.056074766355140186,0.40186915887850466
11,9,6,0.6814514,0.7011449,0.6933524,3,0.6666666666666666,0.056074766355140186,0.45794392523364486
12,8,4,0.70522845,0.7207044,0.7112331,4,0.5,0.037383177570093455,0.4953271028037383
13,8,7,0.7247971,0.73962116,0.7310629,1,0.875,0.06542056074766354,0.5607476635514018
14,8,4,0.7407527,0.7743374,0.7653532,4,0.5,0.037383177570093455,0.5981308411214953
15,8,7,0.77983207,0.7919389,0.78557277,1,0.875,0.06542056074766354,0.6635514018691588
16,9,7,0.7943256,0.8198239,0.80874634,2,0.7777777777777778,0.06542056074766354,0.7289719626168224
17,8,7,0.8224693,0.8340335,0.8261971,1,0.875,0.06542056074766354,0.794392523364486
18,8,7,0.83546317,0.8476666,0.84107006,1,0.875,0.06542056074766354,0.8598130841121495
19,8,8,0.84936327,0.8623536,0.8552249,0,1.0,0.07476635514018691,0.9345794392523364
20,8,7,0.8637965,0.89712733,0.8838606,1,0.875,0.06542056074766354,1.0
