Motif_triangles,Motif_wedges,Motif_4_cycles,Motif_4_cliques,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_std,Motif_square_clustering_proxy,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_frac_zero,Motif_triangle_edge_frac_ge2,Motif_induced_K1_3,Motif_induced_P4,Motif_induced_C4,Motif_induced_TailedTriangle,Motif_induced_Diamond,Motif_induced_K4,Motif_induced_connected_per_4set,Motif_triangles_per_Cn3,Motif_4_cycles_per_Cn4,Motif_4_cliques_per_Cn4,Motif_wedges_per_max,Motif_induced_K1_3_per_Cn4,Motif_induced_P4_per_Cn4,Motif_induced_C4_per_Cn4,Motif_induced_TailedTriangle_per_Cn4,Motif_induced_Diamond_per_Cn4,Motif_induced_K4_per_Cn4,Motif_5_cycles,Motif_5_cliques,Motif_induced_g_1_4,Motif_induced_g_2_4,Motif_induced_g_3_4,Motif_induced_g_4_4,Motif_induced_g_5_4,Motif_induced_g_6_4,Motif_induced5_g_0_5,Motif_induced5_g_1_5,Motif_induced5_g_2_5,Motif_induced5_g_3_5,Motif_induced5_g_4_5,Motif_induced5_g_5_5,Motif_induced5_g_6_5,Motif_induced5_g_7_5,Motif_induced5_g_8_5,Motif_induced5_g_9_5,Motif_induced5_g_10_5,Motif_induced5_g_11_5,Motif_induced5_g_12_5,Motif_induced5_g_13_5,Motif_induced5_g_14_5,Motif_induced5_g_15_5,Motif_induced5_g_16_5,Motif_induced5_g_17_5,Motif_induced5_g_18_5,Motif_induced5_g_20_5,Motif_induced_connected_per_5set,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4_per_Cn4,Motif_5_cycles_per_Cn5,Motif_5_cliques_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5_per_Cn5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_20_5_per_Cn5,sample_index
-0.0044303504,0.0344077,0.029808272,0.0,-0.006877871,0.05786262,0.0,0.0,0.0,0.0106081925,-0.0022517277,-0.06365097,0.11270801,-0.046333015,0.9784478,0.0,0.0,0.15984926,0.0,-0.012411851,0.0,0.0,0.0,-0.0032564634,-0.026787676,0.17983091,0.0,0.0,-0.011418047,0.0,-0.011688109,0.0023316788,0.0,0.08723458,0.0,0.0,0.0,-0.06500909,-0.42282814,0.061290696,0.01630359,0.005431744,0.008619379,-0.003971021,0.037843287,-0.017441364,0.0034997445,0.03200473,0.0,0.0,0.0,-0.009295679,0.002329869,0.0,0.07810487,0.0,-0.02201211,0.007913233,0.0,0.0,0.02830948,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.028514197,-0.3601853,0.012601011,0.002424654,0.008223105,0.020783499,0.006283817,0.0070288144,0.0006983862,-0.035427865,-0.014487176,0.0,0.0,0.0,0.0013344147,0.0012763496,0.0,0.016201781,0.0,0
-0.0044303504,-0.006361547,-0.028914249,0.0,0.01933445,0.08815433,0.0,0.0,0.0,0.013180026,-0.00378469,-0.035371426,0.23177084,0.04105344,-0.056060698,0.0,0.0,-0.05269331,0.0,0.008707515,0.0,0.0,0.0,-0.006631491,-0.007661681,0.08652737,0.0,0.0,0.0077376827,0.0,-0.019177148,-0.00045420043,0.0,-0.005517385,0.0,0.0,0.0,-0.01994464,0.10780504,-0.009811006,0.1356243,-0.0004134993,0.019316275,-0.0054329857,0.04782902,0.31044173,0.010444339,0.058592703,0.0,0.0,0.0,-0.03195192,0.0054511786,0.0,0.08928337,0.0,0.0030337414,0.007913233,0.0,0.0,0.0382867,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.020774717,0.092370056,-0.0024239921,0.010861857,0.00978638,0.020783499,0.006286337,0.0084159225,0.02243527,0.022982512,0.035360165,0.0,0.0,0.0,0.003124934,0.005049638,0.0,0.016201781,0.0,1
-0.0019045942,-0.009152639,-0.23219235,0.0,-0.012282313,0.06200088,0.0,0.0,0.0,0.007957391,-0.0044404417,-0.05970553,-0.22176018,0.067763194,-0.12874088,0.0,0.0,0.032677583,0.0,-0.087282956,0.0,0.0,0.0,0.01520572,-0.0108136535,0.07523426,0.0,0.0,0.0012313849,0.0,0.07568571,-0.00045420043,0.0,-0.0010521607,0.0,0.0,0.0,-0.0071911756,0.072872706,-0.015094865,0.008566345,-0.026637869,0.012069835,0.08361633,0.04536117,-0.05159989,-0.022079006,-0.019757453,0.0,0.0,0.0,0.06568535,0.0054511786,0.0,0.07685563,0.0,-0.013187909,-0.010550247,0.0,0.0,0.022242118,0.0,0.0,0.0,0.0,0.0010414094,0.0,-0.006032495,0.06479565,-0.006266031,-0.0023358164,-0.0153505765,0.007686033,-0.029964108,0.0084159225,0.0037563113,-0.05090134,-0.022525828,0.0,0.0,0.0,0.001231372,0.005049638,0.0,0.016201781,0.0,2
-0.0044303504,-0.007245986,0.023641026,0.0,-0.012282313,0.09238931,0.0,0.0,0.0,0.007980322,-0.0048161126,-0.038008012,0.23811208,0.032157585,-0.12889238,0.0,0.0,0.06126619,0.0,-0.015979644,0.0,0.0,0.0,-0.01084801,-0.012474304,0.09373065,0.0,0.0,0.0050432086,0.0,-0.029487837,-0.00045420043,0.0,0.0031528259,0.0,0.0,0.0,-0.023816543,0.114325166,0.08487169,-0.013522187,-0.015797874,0.019316275,-0.008848727,0.0521864,-0.04067511,0.010444339,0.07928862,0.0,0.0,0.0,-0.025371745,0.0054511786,0.0,0.08338643,0.0,0.052659355,0.007913233,0.0,0.0,0.0382867,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.002121383,0.10024368,0.030356707,-0.0016330003,-0.028411724,0.020783499,0.006283817,0.0084159225,0.0037563113,0.022982512,-0.019051064,0.0,0.0,0.0,0.003124934,0.005049638,0.0,0.016201781,0.0,3
-0.0044303504,-0.006722897,-0.25177282,0.0,-0.012282313,0.077029884,0.0,0.0,0.0,0.011483812,-0.0044404417,-0.03048211,-0.2577297,0.07010421,-0.15382718,0.0,0.0,0.02550643,0.0,-0.081809506,0.0,0.0,0.0,-0.01084801,-0.012474304,0.06440588,0.0,0.0,-0.0025631879,0.0,-0.029487837,-0.019853735,0.0,-0.009036215,0.0,0.0,0.0,-0.0197124,0.14024729,-0.014999531,-0.02507573,-0.0027499252,-0.0776816,-0.008848727,0.042815052,-0.05004727,-0.02234679,-0.053382337,0.0,0.0,0.0,0.06745866,0.0054511786,0.0,0.0706507,0.0,0.11425868,-0.010550247,0.0,0.0,0.020802297,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.006032495,0.086836904,-0.006266031,-0.0023358164,0.0049095135,-0.01961285,0.004640007,0.0084159225,0.0050586914,-0.036394916,0.006506937,0.0,0.0,0.0,0.001231372,0.005049638,0.0,0.016201781,0.0,4
0.034755856,0.0344077,0.0047616106,0.0,0.017702103,0.05558301,0.0,0.0,0.0,0.0106081925,-0.0026273988,-0.018268274,0.12807913,-0.04301822,1.0141039,0.0,0.0,0.20703177,0.0,-0.005414706,0.0,0.0,0.0,-0.004306604,-0.01573576,0.19945253,0.0,0.0,-0.035441123,0.0,-0.011688109,0.0012910055,0.0,0.078582466,0.0,0.0,0.0,-0.017771326,-0.37245995,0.03731345,-0.0065802694,0.008634805,0.008893617,-0.003971021,-0.27778417,-0.060023542,0.00294306,-0.0059214747,0.0,0.0,0.0,0.035737835,-0.019529235,0.0,0.052570205,0.0,0.07756593,0.007913233,0.0,0.0,0.03337462,0.0,0.0,0.0,0.0,0.0010252685,0.0,-0.00015020091,-0.26257947,0.0076855933,0.002424654,0.008223105,0.020783499,0.0038371177,-0.050505016,-0.009012203,0.0096262805,-0.008247973,0.0,0.0,0.0,0.0013344147,-0.014220346,0.0,0.0070292703,0.0,5
-0.0044303504,0.0344077,0.029808272,0.0,-0.006877871,0.05786262,0.0,0.0,0.0,0.0106081925,-0.0022517277,-0.06365097,0.11270801,-0.046333015,0.9784478,0.0,0.0,0.15984926,0.0,-0.012411851,0.0,0.0,0.0,-0.0032564634,-0.026787676,0.17983091,0.0,0.0,-0.011418047,0.0,-0.011688109,0.0023316788,0.0,0.08723458,0.0,0.0,0.0,-0.06500909,-0.42282814,0.061290696,0.01630359,0.005431744,0.008619379,-0.003971021,0.037843287,-0.017441364,0.0034997445,0.03200473,0.0,0.0,0.0,-0.009295679,0.002329869,0.0,0.07810487,0.0,-0.02201211,0.007913233,0.0,0.0,0.02830948,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.028514197,-0.3601853,0.012601011,0.002424654,0.008223105,0.020783499,0.006283817,0.0070288144,0.0006983862,-0.035427865,-0.014487176,0.0,0.0,0.0,0.0013344147,0.0012763496,0.0,0.016201781,0.0,6
-0.0044303504,-0.0063145985,0.008385962,0.0,0.01933445,-0.27986112,0.0,0.0,0.0,-0.027451407,-0.0049923765,-0.04464206,0.17461829,0.03393025,-0.08863187,0.0,0.0,-0.031866565,0.0,-0.012041783,0.0,0.0,0.0,-0.01084801,-0.008489573,-0.10976993,0.0,0.0,0.0035538797,0.0,-0.019177148,-0.0034039207,0.0,-0.03659728,0.0,0.0,0.0,-0.16490883,0.09876476,0.07513392,-0.020111354,-0.022952931,-0.07361531,-0.0054329857,0.03818067,0.39694524,-0.0065540113,0.06040976,0.0,0.0,0.0,0.08812906,0.0054511786,0.0,0.08330914,0.0,0.03750332,0.007913233,0.0,0.0,-0.008365758,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.01700172,0.05187157,0.030356707,-0.0016330003,-0.03957261,-0.053041346,0.004881827,0.00491623,0.023639783,-0.036394916,-0.014595983,0.0,0.0,0.0,0.003124934,0.0020964402,0.0,0.016201781,0.0,7
-0.0044303504,-0.009537986,-0.21375602,0.0,0.01933445,-0.33263472,0.0,0.0,0.0,-0.04241834,-0.0049923765,-0.05440187,0.10418327,-0.09141648,-0.5905657,0.0,0.0,-0.16630454,0.0,-0.043652758,0.0,0.0,0.0,-0.01084801,-0.008489573,-0.2729437,0.0,0.0,-0.002123854,0.0,-0.029487837,-0.0034039207,0.0,-0.040052775,0.0,0.0,0.0,-0.057890765,0.119815305,-0.015022583,-0.027941648,-0.032122098,0.015405645,-0.0054329857,0.027154138,0.38591892,0.011165875,0.04589974,0.0,0.0,0.0,-0.023806997,0.0022589893,0.0,0.056668784,0.0,-0.11365143,0.00316307,0.0,0.0,-0.043895192,0.0,0.0,0.0,0.0,-0.013239933,0.0,-0.02783079,0.018463222,-0.006266031,-0.0056044525,-0.03957261,0.008604617,-0.0004845159,0.003525918,0.029190455,-0.03650879,-0.015674718,0.0,0.0,0.0,-0.017756844,0.0020111958,0.0,0.0068068975,0.0,8
-0.0044303504,-0.007229617,0.03131637,0.0,-0.010954215,0.06556031,0.0,0.0,0.0,0.005757059,-0.0048161126,-0.029687036,0.15441015,-0.107495934,-0.13041295,0.0,0.0,0.05128991,0.0,-0.010506193,0.0,0.0,0.0,-0.0067668143,-0.011178477,0.093207374,0.0,0.0,-0.0025535382,0.0,-0.019744765,0.005733163,0.0,0.0031218715,0.0,0.0,0.0,-0.017805532,-0.1411868,-0.0155565925,-0.016615365,0.2384249,-0.05263973,-0.008848727,0.049839888,-0.06595978,0.0043792697,-0.02178584,0.0,0.0,0.0,-0.028701581,0.0054511786,0.0,0.07303472,0.0,0.11831882,0.007913233,0.0,0.0,0.03337462,0.0,0.0,0.0,0.0,0.0010252685,0.0,-0.002121383,-0.08666082,-0.0026220162,-0.0016330003,0.01825834,-0.053041346,0.0017244057,0.0084159225,-0.034798812,0.009473385,0.016031865,0.0,0.0,0.0,0.003124934,0.005049638,0.0,0.016201781,0.0,9
0.034755856,0.044424172,0.0005513387,0.0,0.017702103,0.0674839,0.0,0.0,0.0,0.0070088417,-0.0022517277,-0.018268274,0.019667156,-0.043563705,1.0407426,0.0,0.0,0.28318244,0.0,-0.00076879654,0.0,0.0,0.0,-0.004306604,-0.026787676,0.22759742,0.0,0.0,-0.0370209,0.0,-0.011688109,0.002282887,0.0,0.10944715,0.0,0.0,0.0,-0.09289783,0.08404492,-0.0077635273,-0.004611434,0.009766756,0.014202679,-0.003971021,0.024375353,-0.016653493,-0.0033895103,-0.006693515,0.0,0.0,0.0,-0.009028483,-0.04569242,0.0,-0.23862205,0.0,0.10382488,0.007913233,0.0,0.0,0.023564825,0.0,0.0,0.0,0.0,0.0010731764,0.0,-0.028514197,0.077975646,-0.0026010175,0.002424654,0.008234727,0.020783499,0.0034496672,0.0084159225,0.00089576,-0.05090134,-0.009249037,0.0,0.0,0.0,0.003124934,-0.02273518,0.0,-0.03120188,0.0,10
