decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,9,9,0.99618125,0.9998041,0.9974663,0,1.0,0.08411214953271028,0.08411214953271028
2,8,8,0.9950596,0.99612963,0.99553025,0,1.0,0.07476635514018691,0.1588785046728972
3,8,8,0.9932967,0.9948932,0.9943021,0,1.0,0.07476635514018691,0.23364485981308408
4,8,7,0.99186325,0.9930568,0.9924256,1,0.875,0.06542056074766354,0.29906542056074764
5,8,7,0.9898471,0.9916956,0.99065447,1,0.875,0.06542056074766354,0.3644859813084112
6,8,8,0.9838305,0.989815,0.98722816,0,1.0,0.07476635514018691,0.4392523364485981
7,9,8,0.97241104,0.98223823,0.9786708,1,0.8888888888888888,0.07476635514018691,0.514018691588785
8,8,6,0.9568813,0.9715617,0.96481466,2,0.75,0.056074766355140186,0.5700934579439252
9,8,4,0.9442035,0.9535024,0.94868857,4,0.5,0.037383177570093455,0.6074766355140186
10,8,6,0.914013,0.94386226,0.926878,2,0.75,0.056074766355140186,0.6635514018691588
11,8,3,0.87656146,0.9035219,0.88898236,5,0.375,0.028037383177570093,0.6915887850467289
12,8,5,0.79938555,0.8561196,0.8307399,3,0.625,0.04672897196261682,0.7383177570093458
13,8,5,0.62817734,0.79713446,0.6990237,3,0.625,0.04672897196261682,0.7850467289719626
14,9,4,0.40978754,0.6167681,0.5722281,5,0.4444444444444444,0.037383177570093455,0.822429906542056
15,8,3,0.32902429,0.3972685,0.37314355,5,0.375,0.028037383177570093,0.8504672897196262
16,8,5,0.21704426,0.3206643,0.25597188,3,0.625,0.04672897196261682,0.897196261682243
17,8,5,0.11664658,0.21681143,0.15967914,3,0.625,0.04672897196261682,0.9439252336448598
18,8,4,0.052746106,0.09051342,0.067162864,4,0.5,0.037383177570093455,0.9813084112149533
19,8,1,0.026318138,0.052691277,0.037336048,7,0.125,0.009345794392523364,0.9906542056074766
20,9,1,0.0035561756,0.021224989,0.010344849,8,0.1111111111111111,0.009345794392523364,1.0
