Spectral_algebraic_connectivity,Spectral_algebraic_connectivity_over_avgdeg,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Spectral_laplacian_heat_trace_t0.1,Spectral_laplacian_heat_trace_t0.1_per_node,Spectral_laplacian_heat_trace_t1.0,Spectral_laplacian_heat_trace_t1.0_per_node,Spectral_laplacian_heat_trace_t5.0,Spectral_laplacian_heat_trace_t5.0_per_node,Spectral_laplacian_mean,Spectral_laplacian_skew,Spectral_laplacian_std,Spectral_spectral_gap,Spectral_spectral_gap_rel,Spectral_adjacency_energy,Spectral_adjacency_estrada_index,Spectral_adjacency_moment_2,Spectral_adjacency_moment_3,Spectral_adjacency_moment_4,Spectral_kirchhoff_index,Spectral_laplacian_heat_trace_t0.5,Spectral_laplacian_heat_trace_t2.0,sample_index
0.7199792,0.35040125,0.071727425,0.14196636,-0.44460857,0.067696534,0.32878092,-0.12691659,0.07717261,0.22262612,-0.31071904,-0.10922646,0.14149946,0.034367878,0.35987088,0.09429569,0.028631315,0.0,0.0,-0.23356593,0.040260967,0.0,0.07487435,-0.3260748,-0.014410304,0.0,0.0,0.29121083,0.5663595,0.01816939,1.7046192,0
0.70579225,0.26358604,0.08017867,0.14091751,-0.24261378,0.091881976,0.4184443,-0.13848002,0.049311794,0.24086551,-0.3296671,-0.05772587,-0.016709097,-0.011623292,0.30274135,0.09429569,0.028631315,0.0,0.0,-0.23501681,0.01011497,0.0,0.07487435,-0.32712495,-0.01935216,0.0,0.0,0.29364932,0.40769488,0.01816939,2.014197,1
0.60051334,0.3740333,-0.035833936,0.0879019,-0.0063535003,0.030176563,-0.14360958,0.07185239,0.068815984,0.19761242,-0.20789556,-0.1086886,0.15270557,0.034367878,0.3331829,0.070661195,-0.019569058,0.0,0.0,0.37418023,0.12685274,0.0,0.081189916,-0.29471388,0.031015106,0.0,0.0,0.45172963,0.41631675,0.0460369,1.5108838,2
0.59763306,0.22640346,0.0680462,0.10103904,0.0031416472,-0.0113506885,-0.18890662,-0.13447802,0.09941238,0.2617424,-0.25253087,-0.09506531,-0.011059352,-0.011623292,0.18300563,0.039091773,-0.051278863,0.0,0.0,-0.41849473,0.087618686,0.0,0.07251191,-0.18161802,-0.004169834,0.0,0.0,0.3174168,-0.012476486,0.04543663,2.005373,3
0.6496354,0.40395293,-0.12681721,0.09835782,0.14039035,0.056489386,-0.22876796,0.18955216,0.049290564,0.14783654,-0.3382723,-0.09626026,-0.0007635435,-0.011623292,0.3584659,0.09429569,0.032904234,0.0,0.0,-0.29401046,0.062266704,0.0,0.07208002,-0.34848157,0.0032871952,0.0,0.0,0.39062604,0.42822117,0.04543663,1.872297,4
0.14413786,-0.094147466,-0.32135907,0.015793214,0.19718087,0.057177506,-0.5528945,-0.48040774,-0.43706986,0.18978804,-0.17448154,-0.10923651,-0.060903978,-0.0067907013,0.042472977,-0.0075913034,0.039420247,0.0,0.0,-0.4111822,-0.12211658,0.0,0.0781944,-0.22853196,-0.054876447,0.0,0.0,-0.37948173,-0.07638501,-0.052444223,-0.18057938,5
0.5793622,0.3586173,0.06703398,0.090583116,0.35997483,-0.018718943,-0.18460286,0.2157273,0.044854973,0.14886662,-0.31409833,-0.081714794,-0.005694474,-0.011623292,0.26500237,0.058348686,-0.05840424,0.0,0.0,0.45654374,0.11923679,0.0,0.07441748,-0.21247928,-0.0015811999,0.0,0.0,0.47782892,-0.007569628,0.0460369,1.6701957,6
0.20274179,-0.046110597,0.06884575,0.0523481,-0.10382028,0.11773686,-0.36340606,-0.45790815,0.073303744,0.13783681,-0.59971803,0.26033032,-0.07783726,-0.038704958,-0.42512894,-0.0029162937,-0.09068039,0.0,0.0,-0.07403337,0.041602574,0.0,0.06865789,-0.20889708,-0.08672105,0.0,0.0,-0.47011524,-0.07483227,0.0460369,-0.82451886,7
0.631631,0.23173814,-0.09910503,0.12285436,-0.1786484,-0.00623307,0.39363,-0.110527664,0.11689795,0.24054374,-0.24221583,-0.08546559,0.14483191,0.034367878,0.33405355,0.070661195,-0.007860268,0.0,0.0,0.41439992,0.13480078,0.0,0.07870462,-0.34160364,-0.014209489,0.0,0.0,0.39210168,0.5086258,0.018769663,1.5642246,8
0.57184196,0.292924,0.08950379,0.09019297,0.45466414,0.13518879,0.42817828,-0.08758789,0.07841329,0.1462914,-0.36344042,-0.1208147,-0.001574286,-0.011623292,0.29582566,0.070661195,-0.050236177,0.0,0.0,0.36713096,0.12375744,0.0,0.07635191,-0.31841695,-0.031861864,0.0,0.0,0.46567413,-0.00034953398,0.014713688,1.603638,9
