decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,72,0,0.00043806413,0.00188235,0.0011500202,72,0.0,0.0,0.0
2,72,0,0.0019657651,0.006795056,0.0037739696,72,0.0,0.0,0.0
3,71,1,0.0070349206,0.019206654,0.012294536,70,0.014084507042253521,0.0013717421124828531,0.0013717421124828531
4,72,1,0.019336738,0.04016839,0.028008662,71,0.013888888888888888,0.0013717421124828531,0.0027434842249657062
5,71,8,0.040638633,0.08909188,0.06077074,63,0.11267605633802817,0.010973936899862825,0.013717421124828532
6,72,11,0.090830386,0.17767704,0.13447496,61,0.1527777777777778,0.015089163237311385,0.02880658436213992
7,72,18,0.17859101,0.27314132,0.22294977,54,0.25,0.024691358024691357,0.053497942386831275
8,71,26,0.27499807,0.3721296,0.32547536,45,0.36619718309859156,0.03566529492455418,0.08916323731138545
9,72,34,0.37263033,0.4710094,0.4289554,38,0.4722222222222222,0.04663923182441701,0.13580246913580246
10,71,39,0.4713342,0.55268407,0.50898176,32,0.5492957746478874,0.053497942386831275,0.18930041152263374
11,72,46,0.5548415,0.6303137,0.595545,26,0.6388888888888888,0.06310013717421124,0.252400548696845
12,72,45,0.63359874,0.71424484,0.675532,27,0.625,0.06172839506172839,0.31412894375857336
13,71,49,0.7151984,0.769577,0.74492234,22,0.6901408450704225,0.06721536351165981,0.38134430727023316
14,72,56,0.7719108,0.83290154,0.8024739,16,0.7777777777777778,0.07681755829903979,0.45816186556927296
15,71,63,0.8337598,0.8863992,0.8604284,8,0.8873239436619719,0.08641975308641975,0.5445816186556927
16,72,60,0.88826746,0.9309601,0.9100387,12,0.8333333333333334,0.0823045267489712,0.6268861454046638
17,72,67,0.9315396,0.96505654,0.94807327,5,0.9305555555555556,0.09190672153635117,0.718792866941015
18,71,65,0.96531916,0.9908379,0.97993964,6,0.9154929577464789,0.08916323731138547,0.8079561042524004
19,72,70,0.9908618,0.9973574,0.9949116,2,0.9722222222222222,0.09602194787379972,0.9039780521262001
20,71,70,0.9974088,0.99942195,0.9984032,1,0.9859154929577465,0.09602194787379972,0.9999999999999998
