feature,importance,mean_signed_shap
Motif_induced_g_4_4,0.6743958,0.090343155
Motif_5_cycles,0.32527232,-0.083623335
Motif_triangle_edge_incidence_std,0.2811945,0.013310162
Motif_4_cycles,0.25479656,-0.04960952
Motif_induced_g_3_4,0.21655257,-0.021431923
Motif_induced_g_4_4_per_Cn4,0.19598432,0.027301384
Motif_induced_g_1_4,0.17688033,0.02649672
Motif_induced_connected_per_4set,0.17538686,0.013970072
Motif_induced5_g_2_5,0.16683798,0.0013402936
Motif_induced5_g_9_5,0.13548155,-0.002263473
Motif_triangle_edge_frac_zero,0.123580165,-0.001707797
Motif_5_cycles_per_Cn5,0.116853684,-0.030762803
Motif_induced_connected_per_5set,0.096174195,0.00884513
Motif_induced5_g_18_5,0.088833764,-0.008679151
Motif_induced5_g_5_5,0.0858851,0.0058065965
Motif_induced_g_3_4_per_Cn4,0.080222055,-0.0070840884
Motif_induced_g_2_4,0.06990936,0.019045103
Motif_induced5_g_8_5,0.061412897,0.0097455485
Motif_induced5_g_6_5,0.060151592,-0.0016443238
Motif_induced5_g_4_5,0.05990759,0.0006959595
Motif_induced5_g_15_5,0.05753944,0.0021216238
Motif_induced5_g_11_5,0.05545955,0.0014475016
Motif_triangle_edge_frac_ge2,0.0554467,-0.026331771
Motif_wedges,0.049710795,-0.010209682
Motif_induced5_g_1_5,0.047432493,0.002247802
Motif_4_cycles_per_Cn4,0.0464806,-0.0077644475
Motif_induced5_g_7_5,0.04477189,0.0015242805
Motif_induced5_g_10_5,0.042468365,-0.0026146858
Motif_induced_g_1_4_per_Cn4,0.03710289,0.0020310853
Motif_induced5_g_5_5_per_Cn5,0.035766453,0.0015527982
Motif_5_cycles_per_Kn,0.031339727,-0.007825731
Motif_induced5_g_18_5_per_Cn5,0.030383041,-0.0030255178
Motif_induced5_g_2_5_per_Cn5,0.027921665,0.00042717662
Motif_induced5_g_9_5_per_Cn5,0.026202809,0.0014443609
Motif_induced5_g_15_5_per_Cn5,0.025053725,-0.001536631
Motif_induced5_g_6_5_per_Cn5,0.024819145,-0.0029367302
Motif_induced5_g_7_5_per_Cn5,0.02465194,0.0017567974
Motif_induced5_g_3_5,0.020642966,-0.001357842
Motif_induced5_g_4_5_per_Cn5,0.020206997,0.0013636507
Motif_wedges_per_max,0.01863075,0.004538328
Motif_induced5_g_1_5_per_Cn5,0.015481361,0.0016373787
Motif_induced_g_2_4_per_Cn4,0.01522684,0.0020326853
Motif_induced5_g_8_5_per_Cn5,0.013622668,0.0018012465
Motif_induced5_g_11_5_per_Cn5,0.011464705,-0.00027134537
Motif_triangle_edge_incidence_mean,0.011284674,0.00020411909
Motif_induced_g_5_4,0.01119534,-0.004827715
Motif_induced5_g_3_5_per_Cn5,0.010666586,0.0007958753
Motif_induced5_g_10_5_per_Cn5,0.010116774,-0.0011676912
Motif_induced5_g_16_5,0.0049335235,0.0005095859
Motif_induced_g_5_4_per_Cn4,0.0028237111,1.0750186e-05
Motif_triangles,0.0024632206,-3.4916666e-05
Motif_induced5_g_0_5,0.0011492843,0.00017181406
Motif_induced5_g_16_5_per_Cn5,0.00022996796,2.7782766e-05
Motif_4_cliques_per_Cn4,0.0,0.0
Motif_triangle_edge_incidence_median,0.0,0.0
Motif_square_clustering_proxy,0.0,0.0
Motif_4_cliques,0.0,0.0
Motif_induced5_g_0_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5,0.0,0.0
Motif_induced5_g_12_5_per_Cn5,0.0,0.0
Motif_induced5_g_12_5,0.0,0.0
Motif_induced5_g_13_5,0.0,0.0
Motif_induced5_g_13_5_per_Cn5,0.0,0.0
Motif_induced5_g_14_5,0.0,0.0
Motif_induced5_g_14_5_per_Cn5,0.0,0.0
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_triangle_edge_incidence_q90,0.0,0.0
Motif_triangles_per_Cn3,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_induced_g_6_4,0.0,0.0
Motif_induced_g_6_4_per_Cn4,0.0,0.0
