feature,importance,mean_signed_shap
Spectral_lap_eig_1,1.078412,-0.10430059
Spectral_lap_eig_2,0.3501939,-0.05561949
Spectral_lap_eig_6,0.3015324,0.02459185
Motif_triangle_edge_frac_zero,0.24081875,-0.017372653
Spectral_lap_eig_7,0.22607324,0.0061959983
Motif_induced_g_4_4,0.2114607,0.04416931
Spectral_lap_eig_3,0.20999967,-0.012904919
Spectral_lap_eig_0,0.19553886,0.010301093
Motif_triangle_edge_incidence_std,0.19520673,0.017657049
Motif_triangle_edge_frac_ge2,0.18893947,-0.010867216
Spectral_lap_eig_5,0.18495291,-0.0058667944
Spectral_lap_eig_8,0.18390214,0.031926382
Motif_4_cycles,0.18144672,-0.01612509
Spectral_lap_eig_4,0.17570041,0.0021028854
Motif_induced_g_1_4,0.16899548,0.01376434
Spectral_lap_eig_9,0.128392,0.01140763
Motif_5_cycles,0.10865708,-0.007181165
Motif_induced5_g_9_5,0.1041106,5.405148e-05
Motif_induced5_g_2_5,0.09288257,0.0014991642
Motif_induced5_g_18_5,0.09173695,-0.0109503465
Motif_induced5_g_5_5,0.08086553,0.007959035
Motif_induced_g_4_4_per_Cn4,0.072104126,0.01416507
Motif_induced_connected_per_5set,0.06439836,0.0138477655
Motif_induced5_g_4_5,0.06275395,0.0017807682
Motif_induced_g_3_4,0.060609568,-0.00088967156
Motif_induced_connected_per_4set,0.0583741,-0.004376769
Motif_induced5_g_1_5,0.05194057,0.0041464735
Motif_induced_g_2_4,0.050342284,0.00065306184
Motif_induced5_g_15_5,0.047778167,0.0027865022
Motif_induced5_g_8_5,0.04722195,0.00043106705
Motif_induced5_g_6_5,0.045565274,-0.0022112934
Motif_4_cycles_per_Cn4,0.045366336,-0.0058346647
Motif_induced5_g_11_5,0.042074192,0.00058981654
Motif_induced5_g_2_5_per_Cn5,0.040059365,0.00212147
Motif_induced5_g_7_5,0.03750191,0.0033299993
Motif_induced5_g_9_5_per_Cn5,0.033660915,-0.001070286
Motif_induced_g_1_4_per_Cn4,0.032410588,0.0059097353
Motif_induced5_g_10_5,0.03156287,0.00404752
Motif_5_cycles_per_Cn5,0.031100329,0.0006389634
Motif_induced_g_5_4,0.029085686,-0.003796164
Motif_induced5_g_16_5,0.02784672,0.0020125546
Motif_induced5_g_4_5_per_Cn5,0.023109293,0.00013005841
Motif_induced5_g_5_5_per_Cn5,0.02236227,0.0021467984
Motif_induced5_g_15_5_per_Cn5,0.017923797,0.0010105433
Motif_induced5_g_1_5_per_Cn5,0.017323839,0.0012011249
Motif_induced5_g_3_5,0.016329817,-0.0011632736
Motif_induced_g_3_4_per_Cn4,0.016274469,-0.0012246983
Motif_induced_g_2_4_per_Cn4,0.015760725,0.002794978
Motif_induced5_g_8_5_per_Cn5,0.015642004,0.0007841094
Motif_induced5_g_7_5_per_Cn5,0.014954234,0.00092198997
Motif_wedges,0.014542728,0.0011342864
Motif_induced5_g_6_5_per_Cn5,0.014302916,-0.0030504242
Motif_induced_g_5_4_per_Cn4,0.01257906,-0.0013027794
Motif_induced5_g_10_5_per_Cn5,0.011980858,0.0020764016
Motif_induced5_g_11_5_per_Cn5,0.011296706,0.00030545457
Motif_5_cycles_per_Kn,0.009539278,-0.0012975347
Motif_induced5_g_18_5_per_Cn5,0.0069586104,-0.0003701343
Motif_triangle_edge_incidence_mean,0.0065195,0.0022555306
Motif_induced5_g_16_5_per_Cn5,0.0063677635,1.2813838e-05
Motif_wedges_per_max,0.0050182417,0.00035297745
Motif_induced5_g_3_5_per_Cn5,0.0042309216,-0.00023218553
Motif_triangles,0.0036926062,0.0015883817
Motif_induced5_g_0_5,0.00097647967,0.00010903341
Motif_triangles_per_Cn3,0.00094394485,0.00026342238
Motif_triangle_edge_incidence_median,0.00025555567,-5.58136e-05
Motif_triangle_edge_incidence_q90,0.0,0.0
Motif_4_cliques_per_Cn4,0.0,0.0
Motif_4_cliques,0.0,0.0
Motif_square_clustering_proxy,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_induced5_g_12_5_per_Cn5,0.0,0.0
Motif_induced5_g_17_5,0.0,0.0
Motif_induced5_g_13_5,0.0,0.0
Motif_induced5_g_13_5_per_Cn5,0.0,0.0
Motif_induced5_g_14_5,0.0,0.0
Motif_induced5_g_14_5_per_Cn5,0.0,0.0
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_induced5_g_0_5_per_Cn5,0.0,0.0
Motif_induced5_g_12_5,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_induced_g_6_4,0.0,0.0
Motif_induced_g_6_4_per_Cn4,0.0,0.0
