Spectral_algebraic_connectivity,Spectral_spectral_gap,Spectral_laplacian_mean,Spectral_laplacian_std,Spectral_laplacian_skew,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Spectral_laplacian_heat_trace_t0.1,Spectral_laplacian_heat_trace_t1.0,Spectral_laplacian_heat_trace_t5.0,Spectral_algebraic_connectivity_over_avgdeg,Spectral_spectral_gap_rel,Spectral_laplacian_heat_trace_t0.1_per_node,Spectral_laplacian_heat_trace_t1.0_per_node,Spectral_laplacian_heat_trace_t5.0_per_node,Spectral_kirchhoff_index,Spectral_laplacian_heat_trace_t0.5,Spectral_laplacian_heat_trace_t2.0,Spectral_adjacency_energy,Spectral_adjacency_estrada_index,Spectral_adjacency_moment_2,Spectral_adjacency_moment_3,Spectral_adjacency_moment_4,sample_index
-0.15626311,-0.06839548,-0.010166813,-0.008015708,-0.11878288,0.8158269,-0.0029662603,0.14194241,0.00064984924,0.4543326,0.37552428,0.7456511,-0.20778447,-0.089566365,1.3356352,0.11058142,0.08386586,-0.16226825,0.43176994,0.057953727,0.033402935,-0.0065475064,-0.043891028,0.1589044,0.03226684,-0.18769833,-0.0045916284,0.00023281598,0.0,0.12702085,0.0870361,0
0.38305575,0.08985925,-0.0030853641,0.010344171,-0.053851336,-0.28106683,-0.000320661,0.23908934,0.15208669,0.06346139,0.6776068,1.1510035,-0.12645276,0.047265396,0.39304942,-0.07363023,-0.063030615,0.38566697,0.7173194,0.121542774,0.0047523417,-0.014012899,0.03897543,-0.0032714359,0.01391752,0.036451206,-0.23088329,0.50575125,0.0,0.10829363,-0.03713399,1
0.012325475,0.030736094,-0.0030097223,-0.028142361,-0.12247717,-0.37687835,0.00069730275,-0.422569,-0.18971868,-0.2195414,-0.2604746,-0.7546034,-0.018776566,-0.27619976,-0.37938532,0.066476926,-0.021096993,-0.100581735,0.23045975,0.0143527705,0.015488209,-0.025107024,-0.03254644,-0.14663652,0.13558152,-0.184254,-0.4951759,-0.41374892,0.0,0.048516538,-0.109004624,2
-0.3676108,-0.13747501,-0.016306357,-0.031849153,-0.1851538,-0.44393653,0.0031688055,-0.4492009,-0.30296218,0.5842327,0.08876239,-0.3114676,-0.36341172,-0.19389084,0.41623986,-0.16161594,-0.13456972,-0.24218711,-0.9217783,-0.18583825,-0.011085074,-0.06789442,-0.042352132,-0.23166777,-0.07648039,-0.70958745,0.47218534,-0.39028797,0.0,0.05362382,-0.4576006,3
-0.4525534,-0.1338552,-0.002551591,-0.0011464074,-0.091633156,0.025997497,-0.0012272072,-0.51485777,-0.09073464,0.30815932,0.23250513,-0.37235215,-0.06975756,-0.41391945,-0.35670346,0.13853994,-0.09643078,-0.18604535,-4.437274,-0.43903047,0.009627523,-0.0010344137,-0.002901745,-0.018842578,0.1082238,-0.19922695,0.40012002,0.29027393,0.0,-0.008708091,0.4513599,4
0.46797627,0.1436316,-0.0029171885,0.011969231,-0.0001828217,0.8653785,-0.0025381714,0.0006688019,0.54598254,-0.7604935,0.4893685,0.26078907,0.21325938,0.12963901,-0.00075530575,0.17833187,0.18122263,0.3450528,0.7359913,0.11455158,-0.0064588604,-0.0072478554,0.046105016,-0.015301919,0.1656282,-0.08465319,0.39981815,0.01021384,0.0,0.07756579,-0.28515822,5
-0.17946388,-0.017535245,-0.0053504724,0.0062412815,-0.016147256,1.2326235,0.0019784872,0.086068064,0.50215,0.4389851,0.12126731,-0.0034470656,0.47461253,0.3919653,1.0265174,0.029102277,-0.24613129,-0.4495313,0.58135,0.03448057,-0.0030547348,-0.046564523,-0.03675969,-0.033806182,0.075927205,-0.031282287,0.31056514,0.37543058,0.0,-0.07830234,1.1812168,6
-0.0743416,0.022035524,-0.0020146465,0.00039007977,0.0151337255,0.32513016,-0.0039657108,0.4884518,0.7139459,0.43243563,0.10939057,-0.041433457,-0.21769057,0.19293815,-0.07291538,0.3499288,-0.06772684,0.14652105,0.28286293,0.066091076,0.03664477,-0.020462109,0.0227027,0.041190315,0.16960019,0.017563205,1.0007678,0.31245017,0.0,-0.18409373,0.4977454,7
0.33418536,0.10005285,-0.00290219,-0.014330122,-0.036638137,0.8458518,-0.0014117361,0.27607745,0.014984689,-0.07344969,0.3154528,0.26990753,0.64110315,0.08321719,1.3703778,0.2290161,0.18996044,0.3191258,0.6326324,0.08506789,0.032020412,-0.013546982,0.050485075,0.03859278,0.18961948,0.039741203,-0.27115208,-0.22327058,0.0,0.13836576,0.040863253,8
0.22882847,0.09846081,-0.006527123,-0.053938475,-0.08391158,-0.87886107,-0.00083813345,-0.2190695,0.27735537,-0.50246036,-0.07934659,-0.9313367,-0.14993155,0.64551276,0.124607466,-0.6372667,0.6592455,-0.11340601,0.30853397,0.0916896,-0.09428032,0.049181473,-0.009819785,-0.08466571,-0.17023237,-0.1578734,-0.6463299,-0.39206487,0.0,-0.29496336,-0.35761583,9
