decile_rank,n,positives,score_min,score_max,score_mean,negatives,precision,recall_incremental,recall_cumulative
1,699,0,6.4885744e-06,9.245278e-05,4.7259186e-05,699,0.0,0.0,0.0
2,699,0,9.246397e-05,0.0003129155,0.00018586095,699,0.0,0.0,0.0
3,698,0,0.00031370466,0.000879514,0.00055903895,698,0.0,0.0,0.0
4,699,1,0.0008805311,0.0026618505,0.0016267326,698,0.001430615164520744,0.0001766472354707649,0.0001766472354707649
5,698,7,0.0026626405,0.0072154733,0.0046904543,691,0.01002865329512894,0.0012365306482953543,0.0014131778837661192
6,699,19,0.007218264,0.017545711,0.011554811,680,0.027181688125894134,0.0033562974739445328,0.0047694753577106515
7,699,45,0.017557494,0.04118644,0.02781747,654,0.06437768240343347,0.00794912559618442,0.01271860095389507
8,698,84,0.04124585,0.08504677,0.06108102,614,0.12034383954154727,0.01483836777954425,0.02755696873343932
9,699,159,0.08506712,0.15561336,0.11767263,540,0.22746781115879827,0.028086910439851617,0.05564387917329094
10,698,212,0.15564477,0.2562786,0.2041244,486,0.3037249283667622,0.03744921391980215,0.09309309309309309
11,699,284,0.25705877,0.37162158,0.3142097,415,0.4062947067238913,0.050167814873697224,0.1432609079667903
12,699,340,0.37164885,0.50180864,0.43813843,359,0.4864091559370529,0.06006006006006006,0.20332096802685037
13,698,392,0.5018315,0.63066155,0.5668678,306,0.5616045845272206,0.06924571630453984,0.2725666843313902
14,699,465,0.63067836,0.74287444,0.68641573,234,0.6652360515021459,0.08214096449390568,0.3547076488252959
15,698,500,0.7432641,0.8321813,0.789225,198,0.7163323782234957,0.08832361773538244,0.4430312665606783
16,699,535,0.8322402,0.9032548,0.8691241,164,0.765379113018598,0.09450627097685921,0.5375375375375375
17,699,595,0.90332246,0.9539255,0.9301503,104,0.8512160228898427,0.10510510510510511,0.6426426426426426
18,698,649,0.9539924,0.98452777,0.9708557,49,0.9297994269340975,0.1146440558205264,0.757286698463169
19,699,678,0.9845405,0.99736196,0.9922703,21,0.9699570815450643,0.1197668256491786,0.8770535241123476
20,698,696,0.9973718,0.9999436,0.9990832,2,0.997134670487106,0.12294647588765235,1.0
