feature,importance,mean_signed_shap
Spectral_lap_eig_1,1.8020399,-0.5947548
Spectral_lap_eig_2,0.34786108,-0.10140936
Motif_triangle_edge_frac_zero,0.34566945,-0.02962122
Motif_triangle_edge_frac_ge2,0.3145009,-0.10468487
Centrality_eigenvector_skew,0.28583,0.036120616
Spectral_lap_eig_6,0.25509393,-0.004881988
Motif_triangle_edge_incidence_std,0.23324734,0.018134413
Centrality_closeness_skew,0.22540057,0.022121806
Centrality_betweenness_std,0.22420539,-0.017704032
Centrality_closeness_std,0.21101096,0.041386507
Spectral_lap_eig_4,0.19743924,-0.031010024
Centrality_closeness_mean,0.19711147,-0.0496912
Spectral_lap_eig_9,0.18402742,-0.007899702
Centrality_eigenvector_mean,0.16983448,0.022775877
Spectral_lap_eig_7,0.16483738,-0.010211637
Spectral_lap_eig_3,0.14816938,-0.033927664
Centrality_betweenness_max,0.14427878,-0.035646427
Centrality_eigenvector_max,0.13748947,-0.011450654
Spectral_lap_eig_8,0.13708061,-0.02016704
Motif_4_cycles,0.13461545,-0.042733073
Centrality_eigenvector_std,0.12621608,0.026704852
Centrality_betweenness_mean,0.11460538,-0.008507268
Motif_induced_g_4_4,0.09924428,0.028884089
Motif_induced_g_1_4,0.099190615,0.027758945
Motif_induced_g_3_4,0.09877146,-0.03739902
Motif_induced_g_5_4,0.095736645,-0.03263763
Centrality_closeness_mean_norm,0.08291691,-0.020963175
Motif_5_cycles,0.08278072,-0.02856401
Centrality_betweenness_skew,0.07722799,-0.0136584975
Spectral_lap_eig_5,0.07129152,-0.0049083005
Motif_4_cycles_per_Cn4,0.06512226,-0.017527519
Motif_induced_connected_per_4set,0.05970984,-0.010993948
Motif_induced_g_1_4_per_Cn4,0.048967868,0.01789464
Spectral_lap_eig_0,0.046750188,-0.0028210315
Motif_induced_g_2_4,0.046721913,0.011920482
Motif_induced_g_4_4_per_Cn4,0.045075417,0.0054152706
Motif_induced_g_3_4_per_Cn4,0.04337064,-0.012868356
Motif_induced_g_5_4_per_Cn4,0.039647635,-0.01447833
Motif_induced5_g_9_5,0.03774088,-0.005509795
Motif_5_cycles_per_Cn5,0.037680406,-0.0123477485
Motif_induced5_g_16_5,0.033327736,0.0008406582
Motif_induced5_g_4_5,0.032518875,-0.0005408535
Motif_induced_connected_per_5set,0.03100962,0.0013612974
Motif_induced5_g_6_5,0.029801836,-0.004633057
Motif_induced5_g_2_5,0.029029181,-0.0043998305
Motif_induced5_g_1_5,0.028416418,-0.0012307859
Motif_induced5_g_10_5,0.027558371,0.00211584
Centrality_closeness_max,0.02374904,-0.003132956
Motif_triangle_edge_incidence_median,0.02372582,-0.0073095504
Motif_induced5_g_5_5,0.023071837,-0.0027485783
Motif_induced5_g_11_5,0.021210507,-0.0017632982
Motif_induced5_g_18_5,0.019135697,-0.0065357443
Motif_induced5_g_15_5,0.019004505,0.00011300449
Motif_induced5_g_8_5,0.01881854,-0.001490321
Motif_induced_g_2_4_per_Cn4,0.018442621,0.0031166251
Motif_induced5_g_9_5_per_Cn5,0.018376537,-0.0023679996
Motif_5_cycles_per_Kn,0.017695248,-0.0069721923
Motif_triangle_edge_incidence_mean,0.016520353,-0.00013015486
Motif_induced5_g_7_5,0.01614561,-0.00078459893
Motif_induced5_g_16_5_per_Cn5,0.014419295,0.0006091166
Motif_induced5_g_4_5_per_Cn5,0.014243959,-5.9372247e-05
Motif_induced5_g_6_5_per_Cn5,0.01350258,-0.0026407272
Motif_wedges,0.013400649,-0.0035153264
Motif_induced5_g_1_5_per_Cn5,0.011558623,-0.0004853938
Motif_induced5_g_2_5_per_Cn5,0.011420845,-0.0015950844
Motif_induced5_g_5_5_per_Cn5,0.01115602,-0.0013397929
Motif_induced5_g_3_5,0.01028326,-0.0006127268
Motif_induced5_g_11_5_per_Cn5,0.009478515,-0.0012072056
Motif_triangles,0.009338981,0.0018818935
Centrality_closeness_max_norm,0.008843815,-0.0033078606
Motif_induced5_g_10_5_per_Cn5,0.008794368,0.0009672403
Motif_induced5_g_7_5_per_Cn5,0.008385644,-0.0007214035
Motif_induced5_g_15_5_per_Cn5,0.008112466,-0.0004402318
Motif_induced5_g_8_5_per_Cn5,0.007686135,-0.0005891835
Motif_wedges_per_max,0.007138611,-0.0011229466
Motif_induced5_g_18_5_per_Cn5,0.0067924056,-0.0026713125
Motif_induced5_g_3_5_per_Cn5,0.004515943,-0.00057743967
Motif_triangles_per_Cn3,0.00359601,0.0003362488
Motif_induced5_g_0_5,0.0011598582,-6.489125e-05
Motif_induced5_g_0_5_per_Cn5,0.0006195709,-5.8455946e-05
Motif_induced5_g_12_5,3.4320663e-05,9.357476e-06
Motif_induced5_g_12_5_per_Cn5,1.8189381e-05,-2.945798e-06
Motif_5_cliques_per_Cn5,0.0,0.0
Motif_5_cliques,0.0,0.0
Motif_square_clustering_proxy,0.0,0.0
Motif_triangle_edge_incidence_q90,0.0,0.0
Motif_4_cliques,0.0,0.0
Motif_4_cliques_per_Cn4,0.0,0.0
Motif_induced5_g_17_5,0.0,0.0
Motif_induced5_g_17_5_per_Cn5,0.0,0.0
Motif_induced5_g_20_5,0.0,0.0
Motif_induced5_g_20_5_per_Cn5,0.0,0.0
Motif_induced5_g_13_5,0.0,0.0
Motif_induced5_g_13_5_per_Cn5,0.0,0.0
Motif_induced5_g_14_5,0.0,0.0
Motif_induced5_g_14_5_per_Cn5,0.0,0.0
Motif_induced_g_6_4_per_Cn4,0.0,0.0
Motif_induced_g_6_4,0.0,0.0
