train_loops,test_loops,n_train,n_test,train_auc,test_auc,best_params
6,6,28,8,0.98125,1.0,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 2.0, ""clf__reg_alpha"": 0.1, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 3, ""clf__learning_rate"": 0.05, ""clf__colsample_bytree"": 0.7}"
7,7,176,44,0.924350821409645,0.7315789473684211,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 2.0, ""clf__reg_alpha"": 0.001, ""clf__n_estimators"": 400, ""clf__min_child_weight"": 1, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.01, ""clf__colsample_bytree"": 0.85}"
8,8,2167,542,0.8432676627519419,0.8127072612921669,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 2.0, ""clf__reg_alpha"": 0.001, ""clf__n_estimators"": 400, ""clf__min_child_weight"": 1, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.01, ""clf__colsample_bytree"": 0.85}"
9,9,34413,8604,0.8189452385910951,0.7991598195812328,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 0.5, ""clf__reg_alpha"": 0.0, ""clf__n_estimators"": 200, ""clf__min_child_weight"": 5, ""clf__max_depth"": 8, ""clf__learning_rate"": 0.05, ""clf__colsample_bytree"": 0.7}"
6,7,36,220,0.9711538461538463,0.7164084328168656,"{""clf__subsample"": 0.7, ""clf__reg_lambda"": 1.0, ""clf__reg_alpha"": 0.1, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 8, ""clf__learning_rate"": 0.1, ""clf__colsample_bytree"": 1.0}"
7,8,220,2709,0.930276860553721,0.7614740780575993,"{""clf__subsample"": 1.0, ""clf__reg_lambda"": 1.0, ""clf__reg_alpha"": 0.001, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.01, ""clf__colsample_bytree"": 1.0}"
8,9,2709,43017,0.8754942961428882,0.7551177413888542,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 2.0, ""clf__reg_alpha"": 0.1, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 3, ""clf__learning_rate"": 0.05, ""clf__colsample_bytree"": 0.7}"
6,8,36,2709,0.9711538461538463,0.6339762806503655,"{""clf__subsample"": 0.7, ""clf__reg_lambda"": 1.0, ""clf__reg_alpha"": 0.1, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 8, ""clf__learning_rate"": 0.1, ""clf__colsample_bytree"": 1.0}"
6,9,36,43017,0.9711538461538463,0.6199844478436204,"{""clf__subsample"": 0.7, ""clf__reg_lambda"": 1.0, ""clf__reg_alpha"": 0.1, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 8, ""clf__learning_rate"": 0.1, ""clf__colsample_bytree"": 1.0}"
7,9,220,43017,0.930276860553721,0.7209858783437428,"{""clf__subsample"": 1.0, ""clf__reg_lambda"": 1.0, ""clf__reg_alpha"": 0.001, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.01, ""clf__colsample_bytree"": 1.0}"
"6,7","6,7",256,256,0.9220762738752459,0.9220762738752459,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 2.0, ""clf__reg_alpha"": 0.001, ""clf__n_estimators"": 400, ""clf__min_child_weight"": 1, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.01, ""clf__colsample_bytree"": 0.85}"
"7,8","7,8",2929,2929,0.877967833697819,0.877967833697819,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 2.0, ""clf__reg_alpha"": 0.1, ""clf__n_estimators"": 800, ""clf__min_child_weight"": 1, ""clf__max_depth"": 3, ""clf__learning_rate"": 0.05, ""clf__colsample_bytree"": 0.7}"
"8,9","8,9",45726,45726,0.8215590788496415,0.8215590788496415,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 0.5, ""clf__reg_alpha"": 0.0, ""clf__n_estimators"": 200, ""clf__min_child_weight"": 5, ""clf__max_depth"": 8, ""clf__learning_rate"": 0.05, ""clf__colsample_bytree"": 0.7}"
"6,8","6,8",2745,2745,0.8811077919756849,0.8811077919756849,"{""clf__subsample"": 1.0, ""clf__reg_lambda"": 1.0, ""clf__reg_alpha"": 0.01, ""clf__n_estimators"": 400, ""clf__min_child_weight"": 2, ""clf__max_depth"": 6, ""clf__learning_rate"": 0.02, ""clf__colsample_bytree"": 0.85}"
"6,9","6,9",43053,43053,0.818071254085712,0.818071254085712,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 0.5, ""clf__reg_alpha"": 0.0, ""clf__n_estimators"": 200, ""clf__min_child_weight"": 5, ""clf__max_depth"": 8, ""clf__learning_rate"": 0.05, ""clf__colsample_bytree"": 0.7}"
"7,9","7,9",43237,43237,0.8192126389913182,0.8192126389913182,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 0.5, ""clf__reg_alpha"": 0.0, ""clf__n_estimators"": 200, ""clf__min_child_weight"": 5, ""clf__max_depth"": 8, ""clf__learning_rate"": 0.05, ""clf__colsample_bytree"": 0.7}"
"5,6",7,43,220,1.0,0.7238167809668953,"{""clf__subsample"": 1.0, ""clf__reg_lambda"": 0.5, ""clf__reg_alpha"": 0.0, ""clf__n_estimators"": 200, ""clf__min_child_weight"": 1, ""clf__max_depth"": 8, ""clf__learning_rate"": 0.05, ""clf__colsample_bytree"": 0.85}"
"5,6,7",8,263,2709,0.9253033980582525,0.7635834181951325,"{""clf__subsample"": 0.85, ""clf__reg_lambda"": 2.0, ""clf__reg_alpha"": 0.001, ""clf__n_estimators"": 400, ""clf__min_child_weight"": 1, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.01, ""clf__colsample_bytree"": 0.85}"
