Epoch 1: Loss=5.12, Accuracy=0.52
Epoch 2: Loss=4.81, Accuracy=0.55
Epoch 3: Loss=4.63, Accuracy=0.52
Epoch 4: Loss=4.59, Accuracy=0.55
Epoch 5: Loss=4.52, Accuracy=0.58
Epoch 6: Loss=4.34, Accuracy=0.58
Epoch 7: Loss=4.37, Accuracy=0.58
Epoch 8: Loss=4.41, Accuracy=0.58
Epoch 9: Loss=4.22, Accuracy=0.58
Epoch 10: Loss=4.05, Accuracy=0.58
Epoch 11: Loss=4.04, Accuracy=0.58
Epoch 12: Loss=4.09, Accuracy=0.58
Epoch 13: Loss=4.05, Accuracy=0.61
Epoch 14: Loss=4.10, Accuracy=0.58
Epoch 15: Loss=4.01, Accuracy=0.64
Epoch 16: Loss=3.88, Accuracy=0.64
Epoch 17: Loss=3.90, Accuracy=0.67
Epoch 18: Loss=4.04, Accuracy=0.64
Epoch 19: Loss=4.00, Accuracy=0.64
Epoch 20: Loss=3.85, Accuracy=0.70
Epoch 21: Loss=3.78, Accuracy=0.64
Epoch 22: Loss=3.71, Accuracy=0.64
Epoch 23: Loss=3.55, Accuracy=0.64
Epoch 24: Loss=3.65, Accuracy=0.64
Epoch 25: Loss=3.70, Accuracy=0.70
Epoch 26: Loss=3.64, Accuracy=0.64
Epoch 27: Loss=3.72, Accuracy=0.70
Epoch 28: Loss=3.74, Accuracy=0.73
Epoch 29: Loss=3.63, Accuracy=0.73
Epoch 30: Loss=3.66, Accuracy=0.73
Epoch 31: Loss=3.41, Accuracy=0.73
Epoch 32: Loss=3.68, Accuracy=0.73
Epoch 33: Loss=3.59, Accuracy=0.73
Epoch 34: Loss=3.67, Accuracy=0.70
Epoch 35: Loss=3.63, Accuracy=0.73
Epoch 36: Loss=3.69, Accuracy=0.70
Epoch 37: Loss=3.58, Accuracy=0.73
Epoch 38: Loss=3.53, Accuracy=0.73
Epoch 39: Loss=3.21, Accuracy=0.70
Epoch 40: Loss=3.48, Accuracy=0.70
Epoch 41: Loss=3.43, Accuracy=0.73
Epoch 42: Loss=3.42, Accuracy=0.73
Epoch 43: Loss=3.50, Accuracy=0.70
Epoch 44: Loss=3.31, Accuracy=0.73
Epoch 45: Loss=3.53, Accuracy=0.73
Epoch 46: Loss=3.39, Accuracy=0.73
Epoch 47: Loss=3.70, Accuracy=0.73
Epoch 48: Loss=3.60, Accuracy=0.73
Epoch 49: Loss=3.41, Accuracy=0.73
Epoch 50: Loss=3.41, Accuracy=0.70
Epoch 51: Loss=3.34, Accuracy=0.70
Epoch 52: Loss=3.47, Accuracy=0.70
Epoch 53: Loss=3.27, Accuracy=0.73
Epoch 54: Loss=3.45, Accuracy=0.73
Epoch 55: Loss=3.31, Accuracy=0.73
Epoch 56: Loss=3.48, Accuracy=0.70
Early stopping
